"","id","age","gender","edu_self","edu_moth","edu_fath","hobbies","nidpar","vddpar","N","E","O","A","C","schizo","NB_co","INSIGHT","STROOP","SHIFTCOS","fluency","CAQ_tot","CAQ_tal","FKAL_ach","FKAL_spe","CAQ_arts","GF","NB_mi","NB_RT_mi","NB_RT_co","StroopE1","StroopE2","StroopE3","ShiftC1","ShiftC2","ShiftC3","Flu1","Flu2","Flu3","Flu4","ins1","ins2","ins3","ins4","ins5","ins6","ins7","ins8","ins1_art","ins2_art","ins3_art","ins4_art","ins5_art","ins6_art","ins7_art","ins8_art","fluency2","fluency3","fluency4","flu_qu","GF_qu","O2"
"208",74,21,1,4,5,4,2,-0.332,1.346,20,32,26,37,38,11,12,4,"0.0417913565952205  ","0.770710519       ",15.25,15,6,80,92,3,0.145,1,0.875,1.057,"0.206917007005606    ","0.0887397051648839  ","-0.170282642384829  ",0.960817953,0.507567679,0.843745925,15,8,22,16,1,0,0,1,0,1,0,1,3,2,2,2,1,1,2,1,17.3458426202744,18.8788570910076,17.1354338893182,232.5625,0.021025,19.8926125034471
"209",181,25,1,4,2,3,1,0.956,-0.193,10,40,44,35,25,7,7,1,"0.344922450238948   ","0.828195303666667 ",13,27,4,80,80,15,-0.142,8,0.722,0.965,"0.367346687884305    ","0.597759219688546   ","0.0696614431439924  ",0.703571788,0.890334223,0.8906799,14,14,12,12,0,0,0,0,0,1,0,0,2,2,1,2,1,1,2,2,15.0428482043617,15.9806384026954,15.4447032032321,169,0.020164,43.1252360284858
"210",173,25,2,4,2,3,2,0.251,0.924,10,32,28,28,29,4,13,6,"0.178361336731677   ","0.710840378333333 ",12.25,9,4,82,59,0,0.135,2,0.918,0.687,"0.338236579925733    ","0.0745771558326584  ","0.122270274436639   ",1.445193649,0.367127625,0.320199861,9,9,17,14,1,1,1,0,0,1,1,1,3,2,2,2,2,2,2,2,14.9139601659656,15.9215332572804,13.347548103753,150.0625,0.018225,23.6601803049413
"211",210,28,1,4,3,9999,1,-0.262,0.716,38,29,35,37,35,13,9,1,"0.32402644652235    ","1.591190504       ",8.75,36,4,59,62,6,-0.111,41,0.848,0.814,"0.146148660388007    ","0.489594907634189   ","0.336335771544854   ",1.859175323,1.890632963,1.023763226,7,8,8,12,0,0,0,0,0,1,0,0,2,2,2,2,2,0,2,2,10.8581880795324,11.314623196243,10.727262966064,76.5625,0.012321,32.7445863520313
"212",14,18,1,4,5,5,2,0.187,0.884,29,33,37,39,31,13,12,6,"0.212229262078092   ","1.01807386766667  ",9.25,10,7,34,25,0,0.099,12,0.893,0.911,"-0.0885184540061192  ","0.645036306751219   ","0.0801699334891759  ",0.76570499,1.530912565,0.757604048,9,6,10,12,1,1,1,0,9999,1,1,1,2,1,2,2,9999,1,2,1,10.3899220509195,12.2462933367689,11.9086193030931,85.5625,0.009801,36.9004121549511
"213",120,23,1,4,3,3,1,-0.914,1.643,36,29,35,33,39,14,13,4,"0.314038926910938   ","1.19525227633333  ",8.5,4,0,31,33,0,0.099,9,1.24,1.139,"0.763282994851525    ","0.240161240807574   ","-0.0613274549262854 ",0.960907446,1.624894631,0.999954752,11,7,9,7,1,0,0,1,0,1,1,9999,2,2,9999,2,9999,2,2,9999,9.47494406406739,11.604467741499,11.1829321417082,72.25,0.009801,33.9925041799157
"214",82,21,1,4,5,3,3,1.315,0.069,22,31,38,30,28,12,9,4,"0.0866397035844813  ","0.323124270333333 ",12.25,16,4,101,59,2,0.082,1,0.899,0.769,"0.0333089661163372   ","0.149361763735186   ","0.0772483809019203  ",0.445745633,0.289429137,0.234198041,11,9,20,9,1,0,0,0,0,1,1,1,1,2,2,2,1,1,1,1,14.6938190952361,13.8206229550897,14.7211604604689,150.0625,0.006724,34.1627531491924
"215",53,20,1,4,3,4,3,0.67,0.512,28,21,31,27,29,12,13,5,"0.0808093850562402  ","0.401045155       ",14.75,9,2,56,13,2,0.081,2,0.717,0.66,"0.122194022016722    ","-0.00550085735016481","0.125734990502164   ",0.437540413,0.4453227,0.320272352,10,9,19,21,1,1,0,0,9999,1,1,1,2,2,2,2,9999,1,1,1,16.3996726801802,19.3892880455542,17.7477708211991,217.5625,0.006561,31.1792750571645
"216",216,29,2,4,3,5,1,0.501,0.267,16,37,36,20,31,11,7,4,"0.214131967         ","0.539023586666667 ",13,15,4,58,65,2,-0.077,6,1.218,0.817,"0.187559303          ","0.282292529         ","0.172544069         ",0.57836484,0.249937805,0.788768115,9,11,15,17,2,0,0,0,0,0,1,1,3,2,2,2,2,1,2,1,15.3656108526347,15.4013265946948,16.8918505203285,169,0.005929,36.8806722561472
"217",152,24,2,5,3,3,3,1.03,-0.097,15,32,24,29,36,11,9,4,"0.581625735460923   ","0.744754552666667 ",9.25,14,7,68,46,0,-0.077,8,0.938,0.979,"0.724234722571653    ","0.753515845130152   ","0.267126638680964   ",0.984294979,0.546944318,0.703024361,9,7,7,14,1,9999,9999,0,9999,1,1,1,1,9999,9999,1,9999,1,1,2,10.3172487856518,13.3264510826151,12.3578397210075,85.5625,0.005929,20.4981238215862
"218",72,21,1,5,3,3,1,-1.18,1.437,20,31,35,36,38,5,7,4,"0.33110707499266    ","0.742205288       ",8.5,3,2,26,25,1,-0.072,40,0.958,1.06,"0.433361717244771    ","0.0211831975643031  ","0.538776310168907   ",0.914002543,0.679774281,0.63283904,6,4,12,12,1,1,9999,1,9999,9999,0,1,1,1,9999,2,9999,9999,2,1,10.4271675053558,11.4668020475654,12.2761240417237,72.25,0.005184,32.0286642799833
"219",77,21,1,5,5,5,2,-0.276,1.129,27,38,38,33,22,7,14,1,"0.244588989407693   ","1.32822251633333  ",10,12,4,59,23,7,0.066,5,0.972,0.807,"0.320363799983466    ","0.276291398017169   ","0.137111770222444   ",1.023499509,0.976505871,1.984662169,6,9,7,18,1,0,0,0,0,0,0,0,1,2,2,2,2,1,2,2,11.6070616657467,12.6423749816498,11.885974045388,100,0.004356,36.0991482128432
"220",168,24,1,4,3,3,3,1.052,-0.067,25,25,27,42,29,7,12,3,"0.118125475721072   ","0.857204098333333 ",6.75,3,1,27,20,0,-0.057,4,1.087,0.859,"0.0123812308071438   ","0.13114018005572    ","0.210855016300353   ",1.018672545,1.015713843,0.537225907,6,9,7,5,1,0,0,0,0,1,1,0,2,2,2,2,1,1,2,1,9.42263976002903,9.4130236644593,11.2700925223051,45.5625,0.003249,26.4641925107098
